Added Component: Designator=LCD1(TFT LCD 5.0 INCHES)
Added Pin To Net: NetName=GND Pin=LCD1-1
Added Pin To Net: NetName=+3V3_DUE Pin=LCD1-2
Added Pin To Net: NetName=LCD_RS Pin=LCD1-4
Added Pin To Net: NetName=LCD_WR Pin=LCD1-5
Added Pin To Net: NetName=+3V3_DUE Pin=LCD1-6
Added Pin To Net: NetName=DB8 Pin=LCD1-7
Added Pin To Net: NetName=DB9 Pin=LCD1-8
Added Pin To Net: NetName=DB10 Pin=LCD1-9
Added Pin To Net: NetName=DB11 Pin=LCD1-10
Added Pin To Net: NetName=DB12 Pin=LCD1-11
Added Pin To Net: NetName=DB13 Pin=LCD1-12
Added Pin To Net: NetName=DB14 Pin=LCD1-13
Added Pin To Net: NetName=DB15 Pin=LCD1-14
Added Pin To Net: NetName=LCD_CS Pin=LCD1-15
Added Pin To Net: NetName=LCD_RESET Pin=LCD1-17
Added Pin To Net: NetName=DB0 Pin=LCD1-21
Added Pin To Net: NetName=DB1 Pin=LCD1-22
Added Pin To Net: NetName=DB2 Pin=LCD1-23
Added Pin To Net: NetName=DB3 Pin=LCD1-24
Added Pin To Net: NetName=DB4 Pin=LCD1-25
Added Pin To Net: NetName=DB5 Pin=LCD1-26
Added Pin To Net: NetName=DB6 Pin=LCD1-27
Added Pin To Net: NetName=DB7 Pin=LCD1-28
Added Pin To Net: NetName=T_CLK Pin=LCD1-29
Added Pin To Net: NetName=T_CS Pin=LCD1-30
Added Pin To Net: NetName=T_DIN Pin=LCD1-31
Added Pin To Net: NetName=T_OUT Pin=LCD1-33
Added Pin To Net: NetName=T_IRQ Pin=LCD1-34
Added Member To Class: ClassName=LCD Member=Component LCD1 5.0" LCD
