Added Component: Designator=*(ARDUINO-DUE)
Added Component: Designator=C1(6-0805_N)
Added Component: Designator=C2(6-0805_N)
Added Component: Designator=C3(6-0805_N)
Added Component: Designator=C4(6-0805_N)
Added Component: Designator=C5(6-0805_N)
Added Component: Designator=C6(6-0805_N)
Added Component: Designator=C7(6-0805_N)
Added Component: Designator=C8(6-0805_N)
Added Component: Designator=C9(6-0805_N)
Added Component: Designator=C10(6-0805_N)
Added Component: Designator=C11(6-0805_N)
Added Component: Designator=C12(6-0805_N)
Added Component: Designator=C13(6-0805_N)
Added Component: Designator=C15(6-0805_N)
Added Component: Designator=E1(PIN1)
Added Component: Designator=L1(LED0805)
Added Component: Designator=L2(LED0805)
Added Component: Designator=LCD1(TFT LCD 5.0 INCHES)
Added Component: Designator=P1(HDR1X3H)
Added Component: Designator=P3(HDR1X3H)
Added Component: Designator=P5(HDR1X2)
Added Component: Designator=P6(HDR1X3)
Added Component: Designator=P7(HDR1X6)
Added Component: Designator=Q1(SOT23)
Added Component: Designator=R13(RES1206)
Added Component: Designator=U2(M08A_L)
Added Component: Designator=U3(751-02_N)
Added Component: Designator=U4(32A_N)
Added Component: Designator=U5(MP04A_N)
Added Component: Designator=U6(MP04A_N)
Added Component: Designator=U8(MP04A_N)
Added Pin To Net: NetName=+3V3_DUE Pin=*-3V3
Added Pin To Net: NetName=T_CLK Pin=*-27
Added Pin To Net: NetName=T_CS Pin=*-28
Added Pin To Net: NetName=T_DIN Pin=*-29
Added Pin To Net: NetName=T_OUT Pin=*-30
Added Pin To Net: NetName=T_IRQ Pin=*-31
Added Pin To Net: NetName=DB0 Pin=*-33
Added Pin To Net: NetName=DB1 Pin=*-34
Added Pin To Net: NetName=DB2 Pin=*-35
Added Pin To Net: NetName=DB3 Pin=*-36
Added Pin To Net: NetName=DB4 Pin=*-37
Added Pin To Net: NetName=DB5 Pin=*-38
Added Pin To Net: NetName=DB6 Pin=*-39
Added Pin To Net: NetName=DB7 Pin=*-40
Added Pin To Net: NetName=LCD_RS Pin=*-41
Added Pin To Net: NetName=LCD_WR Pin=*-42
Added Pin To Net: NetName=LCD_CS Pin=*-43
Added Pin To Net: NetName=DB15 Pin=*-44
Added Pin To Net: NetName=DB14 Pin=*-45
Added Pin To Net: NetName=DB13 Pin=*-46
Added Pin To Net: NetName=DB12 Pin=*-47
Added Pin To Net: NetName=DB11 Pin=*-48
Added Pin To Net: NetName=DB10 Pin=*-49
Added Pin To Net: NetName=DB9 Pin=*-50
Added Pin To Net: NetName=DB8 Pin=*-51
Added Pin To Net: NetName=Net*_52 Pin=*-52
Added Pin To Net: NetName=LCD_RESET Pin=*-53
Added Pin To Net: NetName=GND Pin=*-GND1
Added Pin To Net: NetName=Net*_RESET Pin=*-RESET
Added Pin To Net: NetName=Net*_RESET Pin=*-RESET
Added Pin To Net: NetName=Net*_VIN Pin=*-VIN
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=NetC2_2 Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=NetC3_2 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=PAUSE Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=PAUSE_CAPACITIVE Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=NetC6_2 Pin=C6-2
Added Pin To Net: NetName=RESET Pin=C7-1
Added Pin To Net: NetName=DTR Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=+5V_1 Pin=C8-2
Added Pin To Net: NetName=NetC9_1 Pin=C9-1
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=NetC10_1 Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=+5V_1 Pin=C11-2
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=+5V_1 Pin=C12-2
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=+3V3_1 Pin=C13-2
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=+5V_IR Pin=C15-2
Added Pin To Net: NetName=NetE1_1 Pin=E1-1
Added Pin To Net: NetName=NetL1_1 Pin=L1-1
Added Pin To Net: NetName=GND Pin=L1-2
Added Pin To Net: NetName=NetL2_1 Pin=L2-1
Added Pin To Net: NetName=GND Pin=L2-2
Added Pin To Net: NetName=GND Pin=LCD1-1
Added Pin To Net: NetName=+3V3_DUE Pin=LCD1-2
Added Pin To Net: NetName=LCD_RS Pin=LCD1-4
Added Pin To Net: NetName=LCD_WR Pin=LCD1-5
Added Pin To Net: NetName=+3V3_DUE Pin=LCD1-6
Added Pin To Net: NetName=DB8 Pin=LCD1-7
Added Pin To Net: NetName=DB9 Pin=LCD1-8
Added Pin To Net: NetName=DB10 Pin=LCD1-9
